City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Bang Saphan,TH,78.33,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
507,Khorramshahr,IR,75.2,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
511,Srandakan,ID,78.42,overcast clouds,-7.9386,110.2506,Puri Brata
513,The Valley,AI,82.4,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
514,Yarada,IN,80.94,clear sky,17.65,83.2667,Jeevan
519,Khorixas,,80.22,clear sky,-20.3667,14.9667,Khorixas Lodge
526,San Andres,CO,87.8,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
532,Saint-Georges,GD,84.2,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
534,Lima,PE,75.2,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
537,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
539,Sinnamary,GF,77.58,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
540,Lethem,GY,76.03,light rain,3.3803,-59.7968,Savannah Inn
542,Sao Filipe,CV,76.24,clear sky,14.8961,-24.4956,Tortuga B&B
543,Russell,US,75.0,clear sky,32.3502,-85.1999,Macs
544,Alta Floresta,BR,89.6,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
545,Urucara,BR,84.85,overcast clouds,-2.5364,-57.76,Hotel japa
549,Henderson,US,78.01,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
550,Kintampo,GH,83.26,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
551,Kasangulu,CD,86.0,broken clouds,-4.5911,15.1708,Hôtel le Relais
561,Morant Bay,JM,84.0,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
562,Acacias,CO,79.41,overcast clouds,3.987,-73.758,Hotel Iraqúa
565,Abohar,IN,81.19,scattered clouds,30.15,74.1833,OYO 37129 Hotel Piccadily
567,Buzmeyin,TM,75.2,broken clouds,38.0507,58.2056,
572,Praya,CV,82.4,clear sky,14.9215,-23.5087,LT Aparthotel
576,Pemangkat,ID,78.98,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
577,Socorro,US,80.01,broken clouds,31.6546,-106.3033,guarderia imss papalote
579,Ambovombe,MG,75.0,clear sky,-25.1667,46.0833,RELAHARA
581,Bayeux,BR,80.6,broken clouds,-7.125,-34.9322,Infinity Motel
583,Periyakulam,IN,82.4,light rain,10.1167,77.55,Lucky Residency
584,Bocaiuva,BR,84.2,clear sky,-17.1078,-43.815,Hotel Maxim's
586,Praia,CV,82.4,clear sky,14.9215,-23.5087,LT Aparthotel
589,Uarini,BR,75.2,moderate rain,-2.99,-65.1083,
592,Madang,PG,75.33,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
594,Acatlan,MX,79.92,clear sky,20.15,-98.45,La Fortuna Hospedaje
595,Naifaru,MV,83.53,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
599,Buenaventura,CO,83.53,overcast clouds,3.8801,-77.0312,La Casa Blanca Hotel
600,Paita,PE,87.8,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
601,Turan,VN,77.0,few clouds,16.0678,108.2208,Sun River Hotel
605,Vanimo,PG,78.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
609,Cabedelo,BR,80.6,light rain,-6.9811,-34.8339,Hotel Pigalle
610,Tucupita,VE,84.34,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
620,La Union,PE,86.88,overcast clouds,-5.4,-80.75,Los Portales
625,Cam Ranh,VN,75.2,moderate rain,11.9214,109.1591,OYO 598 Peony Hotel
626,Jeremie,HT,81.16,broken clouds,18.65,-74.1167,Auberge’Inn
628,Arrecife,ES,75.2,few clouds,28.963,-13.5477,Hotel Lancelot
629,Panama City,PA,87.8,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
631,Galveston,US,79.0,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
636,Ilhabela,BR,81.61,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
