City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Nantucket,US,41.2835,-70.0995,51.8,87,90,13.8,overcast clouds
168,Constitucion,CL,-35.3333,-72.4167,68.58,48,0,17.36,clear sky
169,Invermere,CA,50.5167,-116.0354,39.74,37,67,3.51,broken clouds
170,Chernyshevskiy,RU,63.0128,112.4714,-11.7,99,5,1.99,clear sky
171,Bajil,YE,15.0584,43.2851,82.27,57,2,4.63,clear sky
172,Nanakuli,US,21.3906,-158.1547,69.8,68,75,6.91,broken clouds
173,Isangel,VU,-19.55,169.2667,78.46,87,99,8.84,overcast clouds
174,Chokurdakh,RU,70.6333,147.9167,-19.32,99,52,8.12,broken clouds
175,Miguel Calmon,BR,-11.4289,-40.595,88.45,35,82,10.13,broken clouds
176,Port Augusta,AU,-32.5,137.7667,57.2,62,61,10.36,broken clouds
177,Xiuyan,CN,40.2928,123.2744,47.41,66,100,3.4,overcast clouds
178,Abu Kamal,SY,34.4506,40.9171,62.64,26,52,8.39,broken clouds
179,Half Moon Bay,US,37.4636,-122.4286,61.0,76,20,11.5,haze
180,Tabas,IR,33.5959,56.9244,76.32,33,84,5.19,broken clouds
181,Kapit,MY,2.0167,112.9333,72.63,99,100,1.88,moderate rain
182,Longyearbyen,SJ,78.2186,15.6401,19.4,58,40,18.41,scattered clouds
183,College,US,64.8569,-147.8028,10.99,60,75,6.91,broken clouds
184,Hasaki,JP,35.7333,140.8333,48.2,81,20,3.44,few clouds
185,Rio Grande,BR,-32.035,-52.0986,80.6,65,40,11.5,scattered clouds
186,Sonoita,MX,31.85,-112.8333,82.99,12,87,12.28,overcast clouds
187,Kahna Nau,PK,31.3692,74.3653,82.4,36,20,3.13,haze
188,Aljezur,PT,37.3191,-8.8033,60.6,75,39,12.08,scattered clouds
189,Dikson,RU,73.5069,80.5464,27.55,91,100,27.31,overcast clouds
190,Qaqortoq,GL,60.7167,-46.0333,55.4,15,20,20.71,few clouds
191,Danjiangkou,CN,32.5428,111.5086,54.57,79,99,1.72,light rain
192,Amapa,BR,1.0,-52.0,80.55,89,90,3.62,overcast clouds
193,Souillac,MU,-20.5167,57.5167,78.8,89,40,5.75,light rain
194,Hobyo,SO,5.3505,48.5268,83.01,62,89,10.76,overcast clouds
195,Maragogi,BR,-9.0122,-35.2225,81.32,76,100,9.06,moderate rain
196,Manaira,BR,-7.7061,-38.1544,78.87,54,73,4.09,broken clouds
197,Chumikan,RU,54.7183,135.315,18.82,68,32,18.48,scattered clouds
198,Jalu,LY,29.0331,21.5482,67.5,17,2,10.29,clear sky
199,Mount Gambier,AU,-37.8333,140.7667,51.8,87,90,6.91,overcast clouds
200,Zapolyarnyy,RU,69.4154,30.8136,33.8,80,40,26.46,scattered clouds
201,Quatre Cocos,MU,-20.2078,57.7625,79.0,89,40,5.75,light rain
202,Anshun,CN,26.25,105.9333,51.08,96,100,7.31,overcast clouds
203,Pochutla,MX,15.7432,-96.4661,88.0,58,20,11.5,few clouds
204,Finschhafen,PG,-6.6024,147.8681,78.3,84,93,8.86,overcast clouds
205,Luderitz,NA,-26.6481,15.1594,75.33,48,0,5.91,clear sky
206,Guerrero Negro,MX,27.9769,-114.0611,64.47,64,96,15.17,overcast clouds
207,Broome,US,42.2506,-75.833,60.01,94,90,11.5,overcast clouds
